age,smoke_cigars_pipe,smoke_both, smoke_cigarettes, population, deaths
1,0,0,0,656,18
2,0,0,0,359,22
3,0,0,0,249,19
4,0,0,0,632,55
5,0,0,0,1067,117
6,0,0,0,897,170
7,0,0,0,668,179
8,0,0,0,361,120
9,0,0,0,274,120
1,1,0,0,145,2
2,1,0,0,104,4
3,1,0,0,98,3
4,1,0,0,372,38
5,1,0,0,846,113
6,1,0,0,949,173
7,1,0,0,824,212
8,1,0,0,667,243
9,1,0,0,537,253
1,0,1,0,4531,149
2,0,1,0,3030,169
3,0,1,0,2267,193
4,0,1,0,4682,576
5,0,1,0,6052,1001
6,0,1,0,3880,901
7,0,1,0,2033,613
8,0,1,0,871,337
9,0,1,0,345,189
1,0,0,1,3410,124
2,0,0,1,2239,140
3,0,0,1,1851,187
4,0,0,1,3270,514
5,0,0,1,3791,778
6,0,0,1,2421,689
7,0,0,1,1195,432
8,0,0,1,436,214
9,0,0,1,113,63
